id		x		y		z		qx		qy		qz		qw					covariance(major diagonal)


1039	-11.0319	-10.0304	0.2620	0.0380	-0.0370	0.9973	0.0501	36.1435	34.4489	1.1917	1.1625	0.8357	15.7751
1040	-12.0015	-10.0196	-0.3903	0.0299	0.0303	-0.9989	0.0196	36.1435	34.4489	1.1917	1.1625	0.8357	15.7751
1041	-13.0217	-9.9961	0.1199	0.0245	-0.0836	0.9956	0.0354	36.1435	34.4489	1.1917	1.1625	0.8357	15.7751
1042	-12.7930	-10.0513	-0.4176	0.0807	0.0693	-0.0761	0.9914	34.1523	32.9126	1.1330	0.8555	0.7886	14.7651
1043	-11.9792	-10.0369	0.0790	0.0011	0.0186	-0.0638	0.9978	32.1271	30.9963	1.1025	0.6173	0.7187	12.4302
1044	-10.9194	-10.0074	0.3237	0.0177	-0.0110	0.0030	0.9998	29.1116	28.5670	1.0642	0.5770	0.6452	11.0704
1045	-10.0233	-10.0027	-0.0400	-0.0178	0.0022	-0.0034	0.9998	28.0923	27.9522	0.9694	0.4882	0.5790	9.5990
1046	-8.9647	-10.1141	0.1265	0.0229	-0.0211	0.0039	0.9995	26.5142	26.7758	0.9033	0.4592	0.5050	7.9886
1047	-8.0235	-10.0137	-0.2732	-0.0153	0.0326	0.0109	0.9993	25.5680	26.1225	0.8588	0.4289	0.4722	7.5357
1048	-8.0076	-9.9977	-0.1057	0.0460	0.0170	-0.6605	0.7492	25.2054	25.7809	0.8418	0.4257	0.4636	7.5004
1049	-8.0463	-11.0404	1.0329	-0.0544	-0.0079	-0.7220	0.6897	24.8948	25.4689	0.8306	0.4223	0.4611	7.4940
1050	-7.9510	-11.9835	0.2073	0.0234	-0.0070	-0.7098	0.7040	24.8948	25.4689	0.8306	0.4223	0.4611	7.4940
1051	-8.0194	-12.9499	0.0711	0.0029	0.0037	-0.6858	0.7278	24.8948	25.4689	0.8306	0.4223	0.4611	7.4940
1052	-7.9770	-12.9765	0.1934	0.0181	0.0030	0.6937	0.7200	24.2821	25.0375	0.8238	0.3582	0.4417	6.9737
1053	-7.9520	-11.9563	-0.1797	-0.0046	0.0023	0.7385	0.6742	23.9230	24.7857	0.7713	0.3500	0.3820	6.0507
