id		x		y		z		covariance(major diagonal)


57	-0.8830	-0.5803	0.8032	425.8528	482.7794	6.0723
58	0.7458	-1.8540	0.6085	426.9264	483.5049	6.1094
70	0.2826	-1.7529	0.8850	427.1593	483.0824	6.0941
199	-1.4950	-1.7183	1.0241	302.9706	318.7401	4.2054
157	-1.8956	-2.4962	0.6615	289.6822	249.6384	4.5852
973	-1.2505	-0.0022	0.4631	290.4362	247.9819	3.7720
183	0.5309	-0.0682	0.0753	1000.0000	1000.0000	10.0000
519	0.9904	0.8552	-0.3809	1000.0000	1000.0000	10.0000
815	0.2525	0.1731	-0.0725	1000.0000	1000.0000	10.0000
13	-1.1669	-1.7851	0.1690	1000.0000	1000.0000	10.0000
230	-0.9412	-2.6865	-0.2452	1000.0000	1000.0000	10.0000
262	-0.8175	-2.2888	-0.5502	1000.0000	1000.0000	10.0000
361	0.3241	-2.3124	-0.4207	1000.0000	1000.0000	10.0000
396	-0.0870	-2.1726	0.4497	499.9698	498.3960	5.1833
808	0.1214	-2.5276	0.3508	1000.0000	1000.0000	10.0000
89	-0.2658	-3.1367	-0.0389	1000.0000	1000.0000	10.0000
439	0.2951	-3.4736	0.4193	1000.0000	1000.0000	10.0000
259	-1.9294	-4.5542	0.0939	433.2093	504.6074	5.8153
472	-0.5103	-3.6567	0.2708	1000.0000	1000.0000	10.0000
534	0.6261	-5.1819	0.3398	1000.0000	1000.0000	10.0000
592	1.0341	-4.7677	-0.3795	1000.0000	1000.0000	10.0000
810	-0.4703	-4.2697	0.0329	1000.0000	1000.0000	10.0000
855	-0.0579	-4.6173	0.2757	1000.0000	1000.0000	10.0000
841	-1.7912	-2.3836	-0.1805	489.4569	498.0711	5.2940
45	-2.0001	-4.5061	-0.1796	298.2230	336.6462	4.3560
48	-2.3461	-2.4234	0.4718	180.7871	184.1473	2.3312
535	-3.2225	-1.6042	0.5193	242.6777	221.0169	2.8738
637	-2.4164	-4.0922	-0.1276	204.2216	214.3559	2.9849
333	-3.8601	-2.7540	-0.2997	338.4249	256.7535	3.5034
812	-3.6558	-3.7268	-0.1435	501.7321	477.5555	5.4024
876	-3.0609	-2.2006	-0.1815	501.1601	477.2659	5.3728
681	-2.2368	-1.7997	-0.3362	488.8067	497.7369	5.2788
